commenter,commenter_city,content,sentiment
去*户,陕西,张虎大导的讲解真的超级棒！细致。真的是无购物团，玩的很开心,积极
去*户,陕西,小翟导游很热心也很有耐心，路上一直热情地给我们介绍西安景点及美食，跟着她的旅程总能避开景区最拥挤的时候，还一直为我们着想，非常nice！,积极
去*户,陕西,小翟导游很好，服务态度很好，很有耐心，而且很热情的给我们推荐那些美食，还没有像流水线一样一直催我们，给了我们充分的时间。,积极
R*t,陕西,懒人团很不错，不用起太早，也不会太累，张虎导游讲解很不错，讲解历史专业风趣，第二次来了，对历史及人物关系有了更深刻的印象。很好的一次旅行👍,积极
去*户,陕西,张虎导游讲解的很好，清楚明白，一天下来很有收获。马师傅开车开得稳，服务周到，五星好评，以后会推荐给亲戚朋友，开心的一天！,积极
去*户,天津,兵马俑第一停车场不好进，去对面的第二停车场会有位置，20/天/辆，丽山一定要去，里面3个景点（青铜战车一定要看），花15坐电瓶车直接送到，不要听导游说的远看大山包，近看山包大，半天能看完兵马俑+丽山，兵马俑门口有免费的摆渡车，自己带点吃喝,积极
b*7,陕西,来到西安，张旭宁导游人很好讲解很细致人也长的帅。风景都细致地游览了，真的很不错，还想说好多但是因为我晕车就只能暂时说到这里啦！下次来还找他🥰,积极
h*9,陕西,一天的行程充实美好，导游师傅张虎特别负责，能带大家找到最佳观看点去讲解，耐心有亲和力，下回还报他的团，司机王师傅也很负责，一日游圆满结束,积极
去*户,江苏,西安的千古情景点充分展现了中国悠久的历史和文化传统，吸引着来自世界各地的游客。无论你对历史、文化还是建筑艺术感兴趣，西安都将给你带来难忘的体验，让你深刻感受到这座城市的独特魅力。,积极
去*户,江苏,很开心的一次出游，旅行社安排的很妥当，导游人很好，讲的很详细很有耐心。秦始皇陵的壮观景色让我惊叹不已，精细入微的兵马俑雕像栩栩如生，仿佛让人亲临古代战场。让我更深入地了解了秦朝的历史和文化。这次游览不仅丰富了我的历史知识，也让我对中国古代文明有了更深的认识。强烈推荐这个一日游行程给所有对历史和文化感兴趣的朋友们！,积极
去*户,江苏,非常好的一次出行体验，客服讲解很详细，真的是如承诺所说全程无购物无自费，路线安排合理，经典的风景也全部如愿看到。导游全程细心周到介绍态度热情有耐心！景点介绍的很详细很美。不想做攻略和自己来回折腾的都可以选择这个团，全程靠自己应该太累了，也听不到精彩的讲解。西安很好，下次有机会再来。,积极
去*户,江苏,行程安排合理，导游娜娜讲解细致，游玩全程配有耳机，很方便。兵马俑是内部导游讲解，导游幽默风趣，讲解也很到位。中午有团餐，关中六小碗，一人一份，还送一瓶冰峰。一天下来收获满满，推荐大家来兵马俑一定要有讲解，而且讲解员一定要满腹经纶，真的很赞，也希望旅行社生意兴隆，价格不高，却给了我极高的体验，强推,积极
去*户,山西,这次旅行真是令人难忘，导游让整个行程增色不少。不仅知识渊博，能够详细解说每个景点的历史和文化，还时刻关注我们的需求，确保大家都能享受旅程 无论是安排的活动还是对当地美食的推荐，都让我们感到无比满意。旅行本身也很精彩，风景如画，体验丰富，让人流连忘返。总之，这次旅行和导游都非常出色，值得推荐!,积极
l*6,陕西,张倩楠导游很不错，态度好，没有推销,积极
k*鸭,陕西,非常不错的行程，贺励导游很专业。行程安排合理，司机师傅车开的不错，水平高超。秦始皇兵马俑的讲解老师很不错，听得很津津有味，整个旅行很愉快。下次还会选择秦风国旅。,积极
去*户,陕西,今天参加了华清宫兵马俑一日游的线路，早上车接车送，非常方便省心，导游很热情，讲解专业风趣幽默，早上我们参观了华清池，下午参观了世界第八大奇迹兵马俑，很壮观，整个行程体检感非常棒！,积极
e*6,陕西,总的来说，这次旅游很满意了，导游非常耐心，讲解非常细致，像听故事一样着迷，旅游起来不是很累，没有强制消费！中午吃的饺子，是很良心的一次旅游了。,积极
去*户,江苏,两分是给世界八大奇迹兵马俑的！西安旅游乱象，接下来我就要吐槽本次旅游体验了（与购票平台无关），本次门票我们附带黄马甲讲解服务，一人一个挂耳式耳机，导游一个麦克风。我们导游是一位W姓大姐，在帮助其他游客试麦时及其不耐烦，面对部分弄不会的游客，她以指责的态度质问别人在她讲解的时候干嘛，然后发现设备不太好去换……接下来排队进门，在现场人巨多巨多的情况下，她一个人灵活钻入人群，丝毫不管身后近二十位团员是否跟得上，然后有游客提出能不能慢点，或者跟她说挤不进去，她说你来看兵马俑都这么不灵活，你看什么兵马俑！（年纪大的人活该喽？）别的导游边说边讲（我站在队伍最后听别的导游讲解）干货满满，我们导游的身影跟跳入江河的鱼，时隐时现，外加设备信号差，声音断断续续，啥都听不到🙉，甚至中间一长段时间不在讲解，最后她把我们带到厕所边，借上厕所的时间开始了她的主线任务《复活的军团》表演推荐，她把上厕所的时间无限拉长，上完厕所又让大家去接水，实际是为了让大家刷表演票，在她那里报名作准备，其实这个表演并不是一定要看，但是有很多是散客，以为必须要买就买了，当然这都是导游的基操了，她开始拉踩《长恨歌》了，说“有小孩的千万别看，说唐明皇和杨贵妃的关系很尴尬。”难道不看孩子就接触不到这段历史了，长恨歌的场景舞美灯光都很棒很震撼，就算要推荐自己的，也不应该拉踩别的表演。全场的讲解大部分推荐表演，个别再讲解，最后就是蓝田玉的购物点，导游也说了她的话全程会录音，也希望相关部门可以抽空听听看她们的录音在导游过程中究竟规不规范！这绝不是个例！,积极
去*户,陕西,真的太好玩了。西安千古情，是真的不错，光影舞美这些效果配合得很好，兵马俑的那一段实在太震撼了，还有汉使张骞那一幕中小孩哭着跑向父亲的时候，真的让人泪目，科技与故事情节相结合，挺能打动人的。除了演出，景区里能逛的地方也挺多，喜欢刺激的可以去鬼屋玩一玩，我比较胆小就没敢进去哈哈。,积极
j*3,山西,7009号车马师傅，张虎导游，讲解清晰详细，服务很到位，这个一日游太值了，完美地游玩了兵马俑和华清宫，都是最佳位置观看，点赞👍🏻！取票方便 服务好 ！！！饺子宴也美味！！！,积极
去*户,陕西,首先一点价格很便宜。早上提供一份儿小面包牛奶和一瓶水。导游年轻 姓李  大巴为保姆车很舒服。全程没有购物网点儿，但是返程时会有旅行社。特产购物可自愿。景点儿内收费项目完全自愿。非常不错。拍了很多照片儿。会分享给朋友。,积极
c*7,陕西,买票买晚了，在这里看到这个团，看着挺便宜，抱着试一试的态度，没想到还挺好的，大巴接送，尤其是遇到一个好导游，特别热情的一个小姐姐，叫大唐格格，一路上给大家讲的很详细，总之，此次兵马俑之行很满意！,积极
m*8,陕西,李拓导游服务很好！真心不错！很负责任的一个人。行程非常顺利，一次很愉快的一次旅游，我们了解了兵马俑很震撼，世界八大奇迹真心不错，《复活军团》特别好看，看懂兵马俑的说明书！两个地方真心不错，价格美丽！旅行社就是优惠！很愉快的一次旅游！,积极
安*姐,广东,确实震撼，还不错，记得找讲解喔。我们是带娃去的，在美团买的票，包含票，导游，游览车。不科学的是要在进入景区之前就要联系导游了，不然你进去了，导游跟车都没用了，好大一坑。不过我们很幸运，进去找讲解两个人要一百，我们就没找，然后来到一号坑，发现有志愿导游，是湖南大学外语系的实习生，她们拿的是官方老师给的文稿，官方老师讲解要300，我们算是赚到啦，她们讲的也很详细，有问必答，都好可爱哈。然后还去了骊山园，看的东西很少，园区很大，不过那个战车在这边，值得一看哈,积极
去*户,广西,整体来说非常不错，从秦始皇兵马俑到华清池，一路上的讲解很棒，在这座历史底蕴深厚的城市，留下了灿烂的中华文化，行程安排合理，导游和讲解都是风趣幽默，虽然累，但不虚此行！性价比高，服务很好,积极
l*1,山西,按照惯例还是要表扬一下带队的导游樊星和司机师傅，安排很紧凑讲解也到位，布置有条不紊，也不像一些导游要么嘴很碎要么不负责。接下来是点评环节，总体性价比是不错的，纯玩团，自己去的话路上要花时间花心思，门票也不比旅行社的便宜，更何况这2个景点如果没有导游解说非常无聊。总的来说这一日游还是比较愉快的，推荐一下！,积极
去*户,陕西,珠珠姐姐讲解非常到位，小故事非常精彩，还有各种小吃避雷推荐，相当靠谱最后还有小礼物。,积极
去*户,江苏,很不错，即使是淡季也有很多人，不过排队时间还算可以接受，导游非常赞，讲解了许多的东西，整个行程中一直都很贴心的提醒注意事项，告诉我们怎么购买优质的伴手礼，总体来说很不错,积极
一*渊,陕西,挺好的！！！导游很细心！,积极
去*户,陕西,千古情位于西安浐灞区世博园，提醒一下，一定要多留时间早点去，因为演出票是包含宋城景区游玩的，宋城景区虽小，但麻雀虽小五脏俱全，建议穿汉服游玩，有宋制汉服最好，打卡拍照，里面有鬼屋，搞怪屋，迷宫，美食街，各种小演艺，全景过山车，灯光展等，非常全面，这些在外面都是单花钱而且价值不菲的，不算看千古情演出的时间，游玩时间至少两小时以上，票价非常值,积极
去*户,陕西,讲解细致的一次行程，很不错,积极
君*兰（该用户已注销）,湖北,之所以选择这个行程，是因为带着老人和孩子不想太累，看着这个行程相对宽松，就选了，导游时间安排合理，服务周到，相当好,积极
去*户,山西,这次去西安，感受挺好的，喜欢这个城市，感觉就是每个人都热情，机场、酒店、司机、景区人员，都很热情，有素质，之前纠结去不去兵马俑，后来想着等下次带孩子来又不知道人多多少了，就报了一日游的团，讲得也很好，小孩子听得很认真，感觉值了。,积极
e*5,陕西,敬师傅开车技术不错，静导游耐心挺好，讲解到位，今天人太多了，一路走挺累，但是总体是不错的安排，吃的饺子，中午的饺子太多了，简直吃不完。挺好的体验。,积极
福*运,陕西,罗导游特别负责专业，有耐心，谢谢！,积极
去*户,陕西,跟家人出来游玩，买的团票，靳林导游小姐姐，全程耐心讲解，非常到位，靠谱！时间安排也很紧凑，关注到每位游客的安全！非常不错☺️全程也是车接车送很方便～,积极
r*9,陕西,小何导游人非常好，耐心讲解，人美心善，景点也不错。我们说早上想吃了早餐就去，小何导游还帮我调剂车辆时间，点赞,积极
v*2,甘肃,带队的佘导非常热情，在这次旅行中，‌佘导的亲切服务、‌专业知识和精彩讲解给我们留下了深刻的印象。‌她非常了解每个景点的特点和历史背景，‌能够为我们提供详尽的解说。‌她还关心我们的需求和感受，‌能够及时调整行程安排以确保我们的旅游体验更加愉快。‌在旅途中，‌她还为我们提供了许多实用的旅游建议，‌帮助我们更好地规划行程。‌她的热情、‌友好和专业的服务态度使我们的旅行变得更加愉快和难忘。‌,积极
去*户,陕西,下午三点左右去的兵马俑，人不多，时间比较好。,消极
去*户,陕西,《长恨歌》真的是太震撼了，喷泉灯光舞美以山为景全部在线，来西安的朋友一定要看！必看！,积极
血*殇,陕西,真的是万分感谢金牌解说孙博大哥，是讲解，也是解惑，在闲聊中了解大秦文化三个多小时的讲解真的是太详尽了,积极
s*5,陕西,这个行程还不错，虽然早起了一点点，但是还是比较值得，导游李辉服务也很棒,积极
去*户,山东,虽然天气有点热，人比俑多，但还是满意的,积极
y*0,福建,兵马俑一日游是一次很棒的旅行，一日两个景点，玩的很充分，不紧凑。崔苗苗导游全程细致耐心的讲解也不乏风趣，而且对小孩子考虑十分周到，非常满意这次的旅行。,积极
l*r,陕西,张虎🐅张导有灵魂的讲解，让我们在稀稀拉拉的雨天旅游🌧️充满了温暖。路线，时间都很棒棒，让我们避了很多的雷区。特别是兵马俑，讲得非常专业，故事里穿插着小幽默，让入坑人山人海的兵马桶大坑🕳️的我们完美高效的看完了3个坑。,积极
去*户,江苏,非常愉快的一天兵马俑＋华清池之旅，尤其是对沈导全程讲解和服务特别满意～口齿清晰，讲解的非常细腻，全程把西安旅游三分靠看七分靠听牢牢记住了，早上先带着了解参观了2000多年前的兵马俑就显得更加震撼了，下午参观华清池，听明白了历史再去参观就不枯燥乏味，总之西安是文化之都名不虚传~非常喜欢这里厚重的文化感~还有感谢导游送的小礼物，冰封也很好喝~常来长安～，性价比高，体验很棒，服务很好，总体超赞,积极
去*户,陕西,张虎导游讲解很清楚，学到很多知识，行程安排顺畅，司机王师傅开车平稳，车辆清洁舒服，给两位大大的赞👍👍👍,积极
s*n,陕西,3月29日来兵马俑太巧了，因为兵马俑是这一天发现的。收货满满的一天，秦代唐代近代史干货满满，陕西导游不讲的话，没有任何意思，如果说需要导游的话，长安说导游肖遥一定是一个比较好的选择。,积极
c*6,陕西,五星好评，林师傅服务态度好，会为我做攻略，推荐游玩路线，十分靠谱，且不会踩雷，车内环境好，打扫的干净，还有免费的水，游玩体验好，每次我们游玩后都会在离景点近的地方来接我们，不会迟到，在车上还会为我们介绍关于景点的知识， 今天有着非常好的体验，对这次服务十分满意。👍👍👍,积极
去*户,陕西,强烈推荐侯雪导游，讲解很细致自己也准备了激光笔来给大家讲解，一目了然不用东张西望来回找讲的哪个位置，很专业，行程安排很棒，一天下来刚刚好，看了西安事变，长恨歌大型演出，口头讲解后也把后续演出时间，提前到场时间，后续接回酒店时间车的位置都以短信形式告知了一下，棒🎉，开心的一天,积极
s*3,陕西,这个团价格非常实惠，小胡导游年轻漂亮，对我们团员很照顾，司机开车也很稳。凡事有交代，礼貌客气，路上讲解也非常细致精彩，参观了华清宫，看了复活的军团历史剧，去了兵马俑……愉快的一天。值得推荐！,积极
z*6,陕西,今天张虎导游的讲解非常细致！全程耐心讲解，我们带着孩子出行，一路细致周到，我们去买东西导游也耐心提示我们如何挑选，还告诉我们西安特色美食攻略，司机张师傅的头等舱大巴舒适安全，非常感谢一天的陪伴。,积极
小*学,广东,因为想去丽山园看铜车马，所以我预定的兵马俑半日游很满意，导游从联系上车，很负责，安排很到位，景点的讲解很全面，整个行程的安排都很愉快，此行非常感谢客服和导游。,积极
去*9,广东,整体都很满意，早上王导提前打电话沟通了出发时间，上酒店接的我们，晚上我们不看演出，也安排好车子给我们送回来，爸妈们都很高兴，特别是给找的兵马俑导游讲的也非常好。服务很好，性价比高，总体超赞，体验很棒,积极
o*6,内蒙古,就是人太多，听不着。。。,消极
去*户,陕西,出乎意料之外，本以为是拼团出游，确是自己的小团，一辆商务车全程跟到晚上回酒店，不催不赶无推销，师傅是位年纪大的老西安，路上介绍好多故事和美食，太棒了！午餐赠送的牛肉火锅味道也不错，全部吃光光千古情演出很好看！,积极
s*o,陕西,整体行程安排合理全面，导游美丽心细，蔡导游不止介绍项目内的景点，还给西安行程安排提供合理的建议，非常贴心的手绘地图，美食推荐，其他经典场次安排，给她点赞👍,积极
去*户,陕西,临时决定选择的兵马俑和华清宫一日游，从酒店接送到分配大巴等一些列行程安排都非常得当稳妥。特别是我们的导游冯超，全程保障我们的安全，讲解的非常细致，也非常有耐心，让第一次来西安的我们深切体会到了西安的魅力和人文气息！,积极
大*侠,陕西,虽然很累，收获很多。报的精品小团，没有让人失望，特别感谢田小娜导游，服务热情，讲解到位，足足带我们讲解了五个小时多，而且时间安排也很合理。非常推荐。,积极
去*户,陕西,非常满意丁导的服务，嘴巴太会说了，大帅哥一枚，满分评价！,积极
去*户,陕西,整个行程的费用包括了兵马俑和华清宫的门票、往返车辆和导游全程服务、无线耳麦、精美正餐。在小静导游细心的讲解下，看到了数量众多的陶俑、陶马和青铜兵器，展现了秦朝时期的壮观军队阵容。你可以近距离观赏一号坑、二号坑、三号坑和文物陈列坑，感受古代军队的磅礴气势。,积极
e*7,陕西,这次旅行行程安排合理，私家团是真的时间自由，领队美女艳宜人非常好，一路上也很照顾我们，这次旅行体验感非常好,积极
b*7,陕西,程程很棒.景区人很少，体验感很好,积极
去*户,陕西,小党的导游服务令人印象深刻，他以热情的服务态度和专业的知识，将每个景点变成了生动的故事，让我们仿佛置身于历史的长河中。非常推荐哦,积极
k*8,陕西,西安兵马俑一日游行程结束 导游 陈xun 车牌 7125 干脆俐落 舒服 讲话随和 开心的一天  很棒的一天,积极
b*8,陕西,五星好评！玩偶是真的有送！,积极
h*6,陕西,当时制作兵马俑的工匠，基本都是前线士兵的亲属，在当时也算一份不错的“铁饭碗”差事。所以我们现在看到的兵马俑，都是他们的亲属，按照真人一丝一毫还原制作出来的。看似是泥人的俑，实则倾注了无限的爱和期盼。当时听完解说，第一感受就是“时光千年，唯爱永存”。,积极
去*户,四川,兰导服务态度好，面面俱到。讲解历史清晰明了。车辆干净整洁，提前空调开放，游玩结束上车空调凉快。整体服务满意。值得推荐,积极
鹏*鹏,陕西,参加赵导的兵马俑一日游，赵导服务态度很好，景点也不错。,积极
去*户,陕西,好多年没有报过一日游项目了，这次来西安抱着试试的心态报了这一日游，无论导游服务讲解，还是车辆配置，司机师傅辛苦开车，都感觉很满意！为西安的文旅服务人员点赞，虽然天气很热人很多，但仍然达到了我们预期的效果，尤其是张虎导游推荐的表演秦朝统一的主题《复活的军团》为这次旅游画上圆满句号！感谢张虎导游，7009大巴的马师傅！,积极
去*户,陕西,蔡大大大大大大大大美女导游服务令人印象深刻，她以热情的服务态度和专业的知识，将每个景点变成了生动的故事，让我们仿佛置身于历史的长河中。 让我们的旅程充满了舒适和便利。在蔡大大大大大大大美女导游的带领之下，我们不仅仅是旅行者，也是文化的传承者和发现者。 还送了手办小挂件，非常可爱☺️,积极
去*户,陕西,导游靳林服务号，讲解认真仔细，安排合理，还给了小风扇，复活军团强烈推荐...,积极
去*户,陕西,很充实的一天!肖导游很棒!虽然来的这两天天气很热但好在我们遇到了好导游!大巴导游和路线都蛮好，华清宫和兵马俑体验满分100。挑了好几个团购，看来看去还是选了这家，真没选错。讲解很到位，同行的游客不多也很好，品质真的没得说，不愧是大v导游!,积极
去*户,陕西,这一生怎么也得游览一次兵马俑吧我们选择华清池，兵马俑一日游，必须带讲解否则就是看了4个池子，三个坑😂上午参观华清池，就是李隆基杨贵妃沐浴之地，此处有恒温43℃温泉水还含20多种矿物质，所以此地是沐浴疗养圣地。这里也是西安事变发生地，可以观看大型演出西安事变，现场很震撼值得看～下午参观兵马俑，人挤人是常态，讲解也很到位。,积极
去*户,陕西,表演很震撼，还是值得一看的，今天天气也很友好，非常凉爽，也没怎么排队几分钟进入景区,积极
去*户,陕西,陈导介绍的很好，送了零食大礼包，还有冰峰汽水，讲解也深刻，当天下雨，噼里啪啦，但是石榴花看到了，听讲解知道了他的寓意，长恨歌非常推荐，谁没看过我真的会伤心，ok？而且旅行社预定的票也是中间的中间，超级好！秦风唐韵的陈导挺可爱的。,积极
v*6,陕西,这次跟随张虎导游游览兵马俑和华清宫，体验极佳。导游专业知识丰富，态度亲切，对每一处景点的历史背景和文化意义都进行了深入浅出的讲解，让我们在欣赏美景的同时，也深刻感受到了中华文明的博大精深。司机马师傅服务周到，整个旅程感觉挺好。,积极
去*户,陕西,导游张虎老师服务非常贴心，讲解特别到位，纯玩无购物，真正做到了游客是水他是鱼的服务理念，美食、景点、服务皆令人满意！ 这次乘坐的车子是陆地头等舱，8978蒋师傅开的车非常的稳，线路也很熟悉，提前打开空调上车就很凉快。,积极
去*户,陕西,行程安排的很好，导游小高风趣幽默，很有耐心，西安旅游果然是三分看七分听，通过小高风趣的讲解，对于西安这座古城多了很深的认识，长恨歌看了第二场，中区中的中区，观感太nice了！还加了一个华清宫西安事变的演出，很精彩！,积极
去*户,陕西,一日游的行程安排很合理，前天晚上导游电话预约酒店门口大巴车接客。赵导全天全程陪同，5个多小时的现场讲解，且能根据实时景区游客人流量，调整更合理路线，很给力。大巴车司机也给力，这热天，上车就有空调，停车，接送点均很合理。,积极
去*户,陕西,行程安排合理，大巴接送准时，导游很专业，非常不错。带两个孩子第一次到西安旅游，心里开始很忐忑，之前旅游一直是线下找旅行社报团，这次偶然发现美团也有报团服务，而且价格比线下还实惠，抱着试一下的心态，没想到质优价廉，满意满意,积极
去*户,四川,世界第八大奇迹秦始皇陵兵马俑终于看了，它分为兵马俑和骊山园两个地方，赠送的导游讲解不错,积极
蔡*满,陕西,导游很好，讲解很专业，让我们对景点有了深入了解。全程纯玩，无购物，特色饺子餐也不错，挺有特色！值得信任,积极
去*户,陕西,张虎导游服务特别到位，很负责任，行程很完美，讲解很详细。车牌：8978司机师傅开车很稳当，司机师傅人很好，每当一个景点结束之后就会很准时的将车开到我们跟前，不让我们多走路。感谢张导和司机师傅今天的辛苦付出！,积极
春*风,辽宁,首先，感谢党导，很棒的导游姐姐，一路特别细心、耐心、负责，讲解特别专业，对西安特别熟悉哦，给100分！整个行程安排得很好，是一次开心、值得的旅程。,积极
蛐*静,陕西,早上酒店上门接，发了肉夹馍和冰峰，给我了汉服体验卡，午餐分餐制，味道一般，复活军团节目很好看，值得去看非常好看,积极
去*户,陕西,导游浩浩讲解很好，路线安排合理的，很满意的一次旅行。,积极
潘*东,陕西,没有秦始皇的统一。 就没有现在960万平方公里的版图。春秋战国打了500年。而秦的谈统一。只打了10年。秦非常伟大。,消极
去*户,陕西,体验感很不错，司机师傅接送很到位，也很热情地介绍当地的风情，秦始皇陵兵马俑有多大不去亲身体会难以想象，真的特别大，很壮观，西安千古情表演也挺好看的，总体来说是体验感很棒的一天，还有西安的夜景真的好美！,积极
w*1,陕西,肖导好评，讲评专业，司机师傅也是给力，没有出现等待情况，肖导还给大家带了家乡小零食非常的暖心，感谢🙏🏻,积极
L*里,陕西,本次旅行特别好，早上车准点到酒店附近接，逍遥导游很专业，服务特别好，讲解很详细，华清宫和兵马俑讲得也很细致，了解了很多以前不知道的典故，非常靠谢验感极佳，司机师傅也很给力，推荐推荐！,积极
f*2,河北,这次旅行非常满意，尤其申导服务热情，讲解非常好，下次有机会再来西安，还会找申导。,积极
去*户,陕西,感谢苏苏导游的热心服务就是午饭非常一般有待加强,积极
潘*东,陕西,服务热情。  太好了。值得推荐。,积极
潘*东,陕西,兵马俑华清宫一日游精彩有趣，上午是专职导游讲解兵马俑，下午是随行导游带队讲解华清宫，一天下来收获很多。,积极
L*Y,陕西,此次来西安专程找了一个一日游团，想到没那么累！带着有些疑虑的心情开始了我们的旅行，长安说肖遥导游给我们带来了很多便利，专业的讲解让我们对兵马俑，华清宫和西安事变有了更深的了解。不虚此行！强烈推荐肖遥导游！,积极
w*7,北京,这个应该是司机，说的7：05左右到了打电话我下来酒店坐车，7：10打电话问我怎么还没下来？还说是跟我说的是七点零五发车，电话说发我电话录音我听错了，请问录音呢？最后是自己打车去的乘车点。简直是非常无语。,消极
去*户,甘肃,兵马俑很震撼，但是看的人也真多，赶上下雨天还不算太热，赠送的导游讲解很棒👍🏻,积极
h*6,陕西,服务好，讲解详尽，又是愉（ lei）快（si）的一天[烟花][庆祝][跳跳][转圈]导游安排很妥贴,积极
醉*殇,四川,订票方便，联系及时，就是上车地点变了又变，车子还晚点。其他到是没大的问题，订单显示是要送一个小皮影，就变成了一个小剪纸。而且一票一份变成了一个家庭一份。运气不好，又遇到一个奇葩旅客在那里一直骂导游，搞得车子都没法开了，停在服务区等警察等换车，耽误了不少时间。总体还好，80分吧。,消极
潘*东,陕西,导游很负责，昨天刚带完一个团今天早上七点又带我们这个团，虽然累，但是全程没有给我们抱怨消极过，依旧保持十分热情来给我们服务。一路上还叮嘱我们一些景区避坑攻略，也没有带我们去什么购物店，路上给我们推荐复活军团，西安事变这些演出讲的也很好，想看的友友可以去看一下，不想看的也不会强制。中午的自助餐品类很多，味道也不错，就是人太多了，挤不过来......景区讲解过程中也会去考虑那些有老人小孩的游客，故意走慢一点去等待，有一说一情商很高。,积极
i*7,陕西,今天导游苏苏的安排非常合理，给游客错峰安排，节省了很多时间，关键还错开了高峰人流量，让我们在7月这样的旅游高峰期间都能舒心游玩!下次来，还要找苏苏导游,积极
娅*心,上海,遇到一个很好的导游，普通话说得好，吐词清晰，讲解很有意思。得到了旅行社导游的热情、周到的接待，安排得非常周到、贴心。我们非常满意导游的工作。他向我们讲解、传播文化，给我们留下了深刻的印象。感谢旅行社为我们派出了这么优秀的导游，不虚此行，值得推荐。,积极
去*户,陕西,第一次出来张导带队，很接地气的一个帅气小哥导游，我手机落在车上，联系工作人员帮我找回，讲解过程很诙谐幽默，讲到西安事变的时候历史观很正，以后还过来，纯玩，不购物，也主动劝我们不要随便购物，教我们辨别特产档次和推荐好吃的地方，很赞！！！,积极
去*户,河北,天气不错，行程安排的很紧凑，每到一个地方导游都有讲解，而且讲解的很详细呢，很喜欢这个导游，服务态度特别的好，司机师傅开车也特别的稳当。,积极
去*户,陕西,详细说一下，我是西安本地的，带外地女友来，买的是门票带讲解耳机，135块钱，比门票贵了15块，2个人，270。我强烈推荐大家购买这个带讲解的，如果没有讲解，可以在门口找导游，门口的导游是个人或者旅行社的，费用不得而知，但是我路过的时候听了一下大多是讲的比较风俗，对于兵马俑的讲解不够全面，我不是很推荐，我的这个讲解扣除门票相当于15一个人，是进了兵马俑博物馆以后参的团，定了门票以后，前一天会有馆内的工作人员跟你联系，让你到了兵马俑博物馆门口，详细告诉你怎么联系，刷2次身份证以后进馆，在3根国旗杆下面集合，旁边不远是兑换耳机的地方，蓝牙单耳机，很清晰，10米内没一点问题，100押金一个，用完退掉就好了，兵马俑是国家级的博物馆，给你讲解的是博物馆的正式编制员工讲解员，文化方面讲的很多，我的讲解员是666号，魏先生，讲的很好，我一个本地人都觉得非常棒，毕竟如果不听文化方面的东西没必要来，网上看图片看视频就好了，而且讲解员会很热心的告诉你，如果要买特产，哪里买哪里不要买，我作为本地人觉得没问题，不宰外地游客的，比如他给大家说的蓝田玉，本地人都知道这玉好，但是产量大，所以便宜，如果你们来西安有人给你推荐几万的玉别上当，蓝田玉这东西，差一点几百，最顶级就万把块，大家外地过来玩别上当，还有这边的石榴很好，大家逛完兵马俑可以出去的时候10块钱买几个尝一下意思一下就可以，这些讲解员说的与我知道的都一样，还有就是大家来西安玩，回民街可以去逛逛，有钱可以多买点尝一尝，但是实话说说，那地方确实载人，但胜在齐全种类多，也可以去永兴坊逛，也是个特色小吃文化街道，不全，但是便宜，是陕西特产。说回兵马俑，大家来逛了以后，emmm，虽然不好说，你们懂得，但是建议大家别买兵马俑回去，那玩意儿在我们老陕人看来就是陪葬品。。里面的文创不错，买几个冰箱贴纪念一下可以，别的就没什么就，具体兵马俑的文化讲解员比我说的好，逛完兵马俑有空可以去华清池，看大型歌舞剧长恨歌，还可以不远看军团的荣耀，这两部剧很好，都是200多一个人，晚上可以就地住温泉酒店，300到400，比较推荐爱琴海。行了就这样吧，祝大家来玩的开心,积极
b*5,陕西,导游很好，服务很好，但是行程太空，下午空白时间过长，饺子宴太难吃了（虽然是团餐，但是放任何地方都觉得难吃的地步）,积极
f*8,辽宁,有自费表演项目西安事变268元/人，还是自备些食物比较好，中午团餐太破了，萌导讲解的还是很精彩的,积极
v*6,陕西,李拓非常的不错，服务非常到位，值得每一位顾客信赖，今天带着孩子来西安旅游，头一天晚上导游就给我们打电话联系，第二天早上早早来接我们，给我们搬行李，特别照顾我们，真的很不错的一次团购旅游，我们一天行程真心满意。《西安事变》真心不错，值得我们每一个朋友来参观。非常的不错。很震撼，了解到了近代历史，实属不错，《复活的军团》非常的不错，中国唯一一个以秦文化的主题性文化，孩子看了真心不错！也值得我们每一个朋友了解，一天下来导游给我们介绍了西安的特色，真心不错，导游是西安人，很实在，。。以后有机会再来西安，,积极
z*3,云南,一号坑多，历史文物是不错的，要听他背后的故事就要讲解才行，但是这个讲解就复杂了，从一进兵马俑的停车场开始就很多讲解问需要讲解吗？一些是旅行社的，一些是个人，太多了，有点坑在里面，我们询问了好几泼，官方的贵200/h，旅行社的都基本一样148（我们6个人），太多讲解了，门票120，就靠讲解挣钱了,积极
去*户,陕西,门导安排得很周到，很有责任心。效率非常高，时间点卡得非常好，讲解得很好，总是笑脸迎人，人很爽朗，实在。如果以后再有机会，一定再找这位导游。这个价格还包午饭，份量很足，菜也很不错，还有饮料，小伙伴们也都很满意。运气相当不错，安排得很好。紧跟导演身边，能听到，看到的，拍到了很多照片，绝对不虚此行。给这次旅行画上了圆满的句号。,积极
u*0,陕西,张虎导游服务非常好，全部行程没有强制消费，自费项目也提前说明了，讲解满意，照顾周到，午餐也很不错，早上接站很准时，全天下来旅途很愉快，大巴车辆上的基础设施也很舒服，导游说话幽默风趣，返程也介绍了西安其他景点，一天游的性价比很高！,积极
